Name,BirthDate,DrDate,BirthCity,BirthCountry
Chris Eccleston,16 Feb 1964,26 March 2005,Salford,England
David Tennant,18 April 1971,18 June 2005,Bathgate,Scotland
Matt Smith,28-10-1982,1-1-2010,Northampton,England
Peter Capaldi,14 April 1958,25 December 2013,Glasgow,Scotland
Jodie Whittaker,06/03/1982,25/12/2017,Yorkshire,England
